year,Base case cost,Modeled residential ashp
2017,947249.036714,1665620.0538
2018,1032793.30568,1720398.08144
2019,1146182.52706,1797824.07712
2020,1217774.25366,1844875.81724
2021,1281088.79414,1887675.32791
2022,1340950.80012,1928576.07561
2023,1398620.61197,1969446.7169
2024,1450269.48303,2005219.4061
2025,1506969.49948,2046343.16711
2026,1568493.60166,2090736.31872
2027,1629851.21376,2136480.74046
2028,1689191.00174,2181102.5304
2029,1752360.99429,2229211.44234
2030,1814805.02278,2278092.50651
2031,1886171.25869,2333692.46673
