year,Base case cost,Modeled transmission and interties
2021,813987.467643,1985969.01522
2022,848990.034928,2013407.69062
2023,876668.576189,2029168.57748
2024,902248.894831,2045760.11662
2025,928195.012395,2066311.5245
2026,963277.323845,2092100.6316
2027,993451.345354,2112130.13459
2028,1021164.27171,2132671.16809
2029,1052734.18191,2161603.60287
2030,1079048.29319,2177751.16199
2031,1117834.68453,2209407.07865
2032,1154187.04984,2241753.39983
2033,1191661.68624,2279290.21953
2034,1233166.69517,2315032.97643
2035,1265737.43122,2343613.15462
2036,1309357.48951,2382368.26158
2037,1340516.97332,2413428.82144
2038,1385993.82695,2458654.10995
2039,1425436.46155,2492921.61373
2040,1476357.13474,2545278.50581
