year,Base case cost,Modeled residential ashp
2017,229020.104072,432488.076084
2018,260053.057516,454146.728349
2019,303903.395083,487843.997447
2020,321243.228436,496944.049386
2021,339835.002218,507821.038709
2022,355094.047307,515813.665553
2023,361704.840741,515529.86455
2024,373551.716503,520704.648479
2025,386565.425104,527119.530811
2026,395351.002947,529303.258048
2027,408730.138469,536365.633816
2028,414682.519126,536210.214331
2029,429387.368757,544794.438816
2030,434427.126606,544061.956375
2031,450489.4666,554187.344273
