year,Base case diesel consumed,Modeled solar power (pv)
2016,419352.558919,412921.38531
2017,418003.676493,411623.952272
2018,416654.794066,410326.107639
2019,415380.849552,409102.792616
2020,414106.905037,407879.072557
2021,412758.022611,406580.01279
2022,411559.016009,405430.430267
2023,410434.94732,404355.390264
2024,409385.816543,403354.895944
2025,408336.685767,402354.012532
2026,407287.554991,401352.743142
2027,406163.486302,400276.152947
2028,405114.355525,399274.120838
2029,404364.976399,398571.463589
2030,403465.721448,397718.556741
2031,402566.466497,396865.279107
2032,401517.33572,395861.75783
2033,400468.204944,394857.871676
2034,399344.136255,393778.685654
2035,398295.005478,392774.078482
