year,Base case cost,Modeled residential ashp
2017,145251.652387,813022.796817
2018,156379.706243,789392.340551
2019,171683.372226,763865.707692
2020,180221.834342,745510.626948
2021,187276.775963,729591.972673
2022,194155.791908,716694.34876
2023,199740.164723,703546.448819
2024,204696.3448,691521.893894
2025,210066.534283,679510.663694
2026,215867.385346,667522.046541
2027,221376.342937,656256.083194
2028,226576.754884,645689.097851
2029,232594.084195,634795.014294
2030,237530.356292,625243.629046
2031,243686.453712,615039.920571
