year,Base case cost,Modeled transmission and interties
2021,741315.403704,1751017.30863
2022,758930.819238,1738650.79771
2023,770674.429593,1725224.20683
2024,781502.387161,1710469.69043
2025,793254.302758,1697029.24841
2026,807944.197253,1685300.4571
2027,820275.403389,1674001.85932
2028,830565.596621,1660789.73669
2029,843795.845063,1650222.06585
2030,852616.010691,1637701.15201
2031,867316.286737,1628099.04995
2032,882016.562784,1619855.08437
2033,896083.564226,1610726.4659
2034,910773.458722,1603239.0497
2035,919754.538388,1592158.42948
2036,936552.925868,1585855.45029
2037,946029.205511,1577255.55979
2038,962188.089456,1571335.42742
2039,974628.301876,1563720.59575
2040,991498.322056,1559773.83997
