year,Base case cost,Modeled solar power (pv)
2016,270149.378268,276198.317867
2017,331007.20524,336195.81622
2018,378505.997023,383000.865885
2019,443816.835725,447430.698574
2020,474987.917833,478116.74874
2021,495768.639238,498536.641902
2022,513580.686157,516027.801491
2023,523971.046859,526184.715167
2024,534361.407562,536346.955219
2025,544751.768265,546514.411921
2026,558110.803454,559624.142854
2027,569985.5014,571270.673587
2028,580375.862102,581453.520116
2029,593734.897291,594579.079435
2030,601156.583507,601833.507548
2031,615999.95594,616438.061525
2032,629358.991129,629578.526527
2033,644202.363561,644193.328842
2034,659045.735993,658813.166739
2035,669436.096696,669028.899577
