year,Base case cost,Modeled residential ashp
2017,131455.972711,349027.639011
2018,140005.690385,357999.524417
2019,152028.730865,371636.248784
2020,163040.886198,382132.037837
2021,167192.923796,385383.892055
2022,169960.948862,386866.673046
2023,172175.368914,387671.699878
2024,173836.183954,387797.786577
2025,175773.801499,388336.308454
2026,178265.024059,389650.312303
2027,180479.444111,390646.160129
2028,182140.25915,390958.595457
2029,190764.295841,398452.892875
2030,192482.853855,398909.82212
2031,195060.690878,400530.012912
