year,Base case cost,Modeled non-residential ashp
2017,1349556.51633,1744509.74768
2018,1429460.66459,1816835.72828
2019,1536831.86382,1916245.56239
2020,1589268.96111,1961909.81628
2021,1624227.02598,1990564.38489
2022,1649197.07231,2009553.92651
2023,1669173.10937,2023773.89772
2024,1684155.13717,2033221.27551
2025,1701634.1696,2045240.93587
2026,1724107.2113,2062279.27189
2027,1741586.24373,2074536.36399
2028,1756568.27153,2084458.73881
2029,1776544.3086,2099391.53948
2030,1789029.33176,2107085.76377
2031,1811502.37346,2124683.7834
