year,Base case cost,Modeled residential ashp
2017,37364.3553185,456618.468471
2018,41143.4177116,431698.621699
2019,45562.5255399,401927.220419
2020,47543.5049112,383084.576991
2021,48914.9521682,367151.308239
2022,49981.6333681,352786.221442
2023,50743.5485109,339983.866174
2024,51200.6975966,328738.918331
2025,51375.988563,315788.333541
2026,52129.3021782,303627.293608
2027,52882.6157935,291672.817873
2028,53485.2666858,280589.590546
2029,53619.27032,268414.523011
2030,54066.0975727,258385.033908
2031,54324.9593475,245894.882964
