year,Base case cost,Modeled transmission and interties
2021,949725.132403,1912069.35398
2022,972990.843144,1897256.89745
2023,988755.579657,1881308.73311
2024,1001938.98739,1863526.05858
2025,1017734.77545,1847720.44438
2026,1036581.71573,1833488.66068
2027,1053165.94313,1819998.41091
2028,1066377.70227,1804302.71534
2029,1083364.24974,1791395.40246
2030,1094688.61472,1776477.35946
2031,1113562.55636,1764702.52833
2032,1132436.49799,1754344.03385
2033,1149663.35745,1742804.01914
2034,1167673.25598,1732973.36437
2035,1179163.67924,1719772.68474
2036,1199850.76133,1711288.58527
2037,1212873.51105,1701059.49667
2038,1234474.58874,1693746.67222
2039,1252237.42494,1685073.35448
2040,1273923.55687,1679521.24454
