year,Base case cost,Modeled non-residential ashp
2017,2992592.75864,3684572.30494
2018,3197983.50446,3852796.5828
2019,3496733.68021,4104182.25955
2020,3627436.88209,4206789.03016
2021,3730132.25501,4284858.9924
2022,3795483.85595,4330101.50008
2023,3851499.5139,4367359.30914
2024,3888843.28587,4388342.11344
2025,3935523.00083,4417893.00082
2026,3991538.65878,4456005.29682
2027,4047554.31674,4494389.17607
2028,4084898.0887,4516471.65829
2029,4140913.74666,4555379.75733
2030,4178257.51862,4577974.17299
2031,4234273.17658,4617382.20704
