year,Base case cost,Modeled residential ashp
2017,176311.357952,339618.594007
2018,196096.81573,353979.593268
2019,217016.1851,368827.319886
2020,227232.621304,374300.619167
2021,234043.578773,376847.342765
2022,239395.045356,378185.4976
2023,242800.52409,377883.185692
2024,253246.944284,384699.44594
2025,256749.8121,384647.965029
2026,261253.499291,385558.324243
2027,265256.776795,386097.079822
2028,268259.234923,385818.634372
2029,280346.459884,394524.385186
2030,282918.071953,394007.884294
2031,287546.973678,395388.401521
