year,Base case diesel consumed,Modeled solar power (pv)
2016,56064.1934031,55227.4545166
2017,56064.1934031,55234.1484277
2018,56064.1934031,55240.7887875
2019,56064.1934031,55247.3760244
2020,56064.1934031,55253.9105635
2021,55996.0716614,55192.2710845
2022,55996.0716614,55198.7014891
2023,55996.0716614,55205.0804505
2024,55927.9499197,55143.2866385
2025,55927.9499197,55149.5639447
2026,55859.828178,55087.6692909
2027,55859.828178,55093.846562
2028,55791.7064364,55031.8526732
2029,55791.7064364,55037.9315033
2030,55791.7064364,55043.9617028
2031,55723.5846947,54981.821919
2032,55655.462953,54919.6342795
2033,55587.3412113,54857.3991672
2034,55519.2194696,54795.1169619
2035,55451.097728,54732.7880402
