year,Base case cost,Modeled non-residential ashp
2017,266156.5656,320642.65178
2018,290362.061244,340659.67422
2019,324249.755145,369057.657168
2020,340386.752241,382148.737373
2021,351682.650209,391079.442187
2022,359751.148757,397242.683879
2023,366205.947595,402031.385579
2024,371047.046724,405445.105837
2025,376694.995708,409573.476301
2026,383956.644401,415112.763555
2027,389604.593384,419275.806137
2028,394445.692513,422758.890132
2029,401707.341206,428348.373786
2030,405741.59048,431167.061121
2031,413003.239174,436788.078881
