year,Base case cost,Modeled transmission and interties
2021,178067.507883,2210597.03133
2022,183667.115049,2182553.55976
2023,188146.800782,2153914.98218
2024,191273.588725,2125515.0297
2025,195188.54522,2098324.68621
2026,199978.184877,2072677.02683
2027,203888.37285,2046867.67506
2028,206987.230879,2021217.37442
2029,212008.484458,1997060.43115
2030,214798.06978,1972533.813
2031,219550.923697,1950123.39794
2032,224291.515701,1927976.69465
2033,229019.845791,1906749.32465
2034,234291.106162,1886092.2506
2035,237885.209253,1864657.91269
2036,243131.26458,1845102.65456
2037,246151.101388,1824747.2023
2038,251372.632888,1806574.22473
2039,255476.967825,1787910.37432
2040,261223.717953,1770735.96089
