year,Base case cost,Modeled transmission and interties
2021,105986.485549,1815329.24972
2022,110131.411988,1794232.01811
2023,113388.573636,1772939.59189
2024,116193.958949,1751505.63442
2025,118930.120468,1730725.8599
2026,122717.39064,1711367.23073
2027,125485.735151,1691756.89719
2028,128019.0831,1672308.09574
2029,130416.412367,1653378.4947
2030,132142.149393,1633780.69327
2031,135347.089583,1616704.24286
2032,139234.552088,1600999.25584
2033,143153.590358,1585817.81887
2034,147354.381612,1571173.61518
2035,149718.313435,1555273.04069
2036,153600.310903,1541510.02454
2037,155486.355661,1525210.90387
2038,158997.337886,1511841.24357
2039,162147.627713,1498177.80016
2040,166319.272106,1486566.99611
