year,Base case cost,Scammon bay wind feasibility,Modeled wind power
2019,386054.059954,551625.253841,589436.498969
2020,409693.179126,566525.521867,599432.291062
2021,428213.661648,577351.96446,606156.56697
2022,441561.971517,584048.423212,609552.256416
2023,451011.075897,587652.073794,610464.793898
2024,459439.278458,590572.257858,610920.950107
2025,468995.454842,594488.947706,612218.146786
2026,481553.365124,601040.287793,615802.848377
2027,491501.395301,605545.257096,617756.62659
2028,501511.884148,610207.458791,619900.592373
2029,512941.820607,616148.429959,623164.659735
2030,520358.044016,618865.762981,623809.069448
2031,533575.488103,626539.659361,628677.331748
2032,546592.172181,634098.991901,633461.002756
2033,558614.722442,640981.597132,637788.06719
2034,573183.207027,650025.878678,643923.690666
2035,582598.10785,654929.775063,646710.24574
2036,596261.685288,663461.05139,652578.888639
2037,605813.400338,668656.714556,655711.091345
2038,619649.482672,677511.816622,661956.177997
