year,Base case cost,Modeled transmission and interties
2021,428213.661648,1633628.35493
2022,441561.971517,1631619.34209
2023,451011.075897,1624077.85366
2024,459439.278458,1617146.24248
2025,468995.454842,1611924.7889
2026,481553.365124,1609141.10561
2027,491501.395301,1603685.04363
2028,501511.884148,1598654.45345
2029,512941.820607,1597060.09622
2030,520358.044016,1589699.55067
2031,533575.488103,1589398.69246
2032,546592.172181,1589195.6696
2033,558614.722442,1591066.47073
2034,573183.207027,1591823.41658
2035,582598.10785,1589814.92688
2036,596261.685288,1591562.87241
2037,605813.400338,1590302.11505
2038,619649.482672,1594309.00499
2039,632166.497397,1594057.58458
2040,647946.234031,1600849.43668
