year,Base case diesel consumed,Scammon bay wind feasibility,Modeled wind power
2019,130865.783035,103454.172919,81023.4746181
2020,131311.916386,103900.306271,81469.6079693
2021,131758.049738,104346.439622,81915.7413206
2022,132204.183089,104792.572973,82361.8746719
2023,132650.31644,105238.706325,82808.0080231
2024,133170.80535,105759.195234,83328.4969329
2025,133616.938701,106205.328586,83774.6302842
2026,134137.427611,106725.817495,84295.119194
2027,134657.916521,107246.306405,84815.6081038
2028,135178.405431,107766.795315,85336.0970136
2029,135698.89434,108287.284225,85856.5859234
2030,136219.38325,108807.773135,86377.0748332
2031,136814.227719,109402.617603,86971.9193015
2032,137334.716628,109923.106513,87492.4082113
2033,137929.561097,110517.950981,88087.2526796
2034,138450.050007,111038.439891,88607.7415894
2035,139044.894475,111633.284359,89202.5860578
2036,139639.738943,112228.128828,89797.4305261
2037,140234.583412,112822.973296,90392.2749945
2038,140829.42788,113417.817764,90987.1194628
