year,Base case cost,Modeled non-residential ashp
2017,52811.2688697,112811.346349
2018,58772.4306475,112385.704237
2019,67228.9624719,112320.819368
2020,71249.2808802,111693.292796
2021,74021.9142653,110926.925936
2022,76240.0209733,110113.353045
2023,77626.3376659,109215.041275
2024,78874.0226891,108323.654336
2025,80398.9710509,107493.961221
2026,82201.1827512,106725.381072
2027,83587.4994437,105925.073632
2028,84835.184467,105129.394054
2029,86498.764498,104411.619805
2030,87607.817852,103642.040348
2031,89410.0295523,102986.231117
