year,Base case cost,Modeled transmission and interties
2021,211688.768387,976523.074832
2022,218175.412071,982980.293829
2023,223101.953634,987524.583394
2024,227324.703545,991370.140669
2025,231547.453456,995909.370871
2026,237881.578323,1001851.12502
2027,242174.156126,1005785.93093
2028,246385.880581,1009967.37847
2029,251299.559111,1014845.73394
2030,254809.32949,1018330.27355
2031,260443.337857,1023598.67802
2032,266744.386353,1029509.40473
2033,272345.31835,1035070.07318
2034,279346.483346,1041675.88345
2035,282802.964017,1044786.03617
2036,289087.474329,1051025.36889
2037,293277.14787,1055184.92403
2038,299561.658181,1061424.25675
2039,304344.868807,1065510.19894
2040,311309.282281,1072424.54719
