year,Base case cost,Modeled non-residential ashp
2017,261014.356775,271334.68547
2018,278104.587076,287547.143382
2019,309140.439434,317379.193608
2020,320153.541689,327840.553219
2021,327662.475045,334973.298409
2022,333169.026172,340203.978214
2023,337173.790629,344008.108982
2024,340177.363971,346861.207058
2025,343681.53287,350189.821479
2026,348186.892884,354469.468593
2027,352191.65734,358273.599361
2028,355195.230682,361126.697436
2029,368541.042465,374246.796319
2030,371105.536564,376685.894363
2031,375721.625942,381076.270841
