year,Base case cost,Modeled residential ashp
2017,292374.202328,505468.11325
2018,317147.940325,522174.188883
2019,350050.893878,545625.458186
2020,369761.442565,558816.610515
2021,386507.390091,569813.816025
2022,392763.633546,570954.766697
2023,405750.463206,579187.642096
2024,417488.985889,586531.406334
2025,430107.206884,594707.0973
2026,436009.038608,595981.625658
2027,449663.124196,605226.513945
2028,461983.721199,613489.029226
2029,468112.703878,615234.351112
2030,479908.525935,623263.782981
2031,494995.990285,634120.646337
