year,Base case cost,Modeled non-residential ashp
2017,149476.900406,186576.595396
2018,158614.922748,194393.488357
2019,171342.88244,205575.25161
2020,177217.325375,210380.92728
2021,181459.978605,213680.421583
2022,184397.200073,215777.757422
2023,186681.705658,217281.359187
2024,188313.495362,218190.874107
2025,190271.643007,219419.136116
2026,192882.506534,221270.201595
2027,195167.01212,222830.56357
2028,196798.801824,223795.508383
2029,199409.66535,225686.686769
2030,200715.097113,226373.043067
2031,203325.96064,228289.420962
