year,annotation,diesel generation efficiency
2002,,12.18
2003,,13.25
2004,,12.97
2005,,12.77
2006,,13.36
2007,,12.52
2008,,11.03
2009,,15.46
2010,,12.04
2011,,12.54
2012,,13.05
2013,,15.37
2016,start of forecast,13.65
2017,,13.65
2018,,13.65
2019,,13.65
2020,,13.65
2021,,13.65
2022,,13.65
2023,,13.65
2024,,13.65
2025,,13.65
2026,,13.65
2027,,13.65
2028,,13.65
2029,,13.65
2030,,13.65
2031,,13.65
2032,,13.65
2033,,13.65
2034,,13.65
2035,,13.65
2036,,13.65
2037,,13.65
2038,,13.65
2039,,13.65
2040,,13.65
