year,Base case cost,Modeled residential ashp
2017,955604.703481,645451.353314
2018,1041197.20911,720110.877699
2019,1163669.3037,827343.059041
2020,1231165.69876,887882.102405
2021,1296462.60682,948209.473531
2022,1346002.03937,994104.579005
2023,1396554.47254,1042337.89494
2024,1447892.7825,1091357.08766
2025,1500016.96924,1141162.15717
2026,1557683.20692,1195846.6727
2027,1613925.63648,1249438.68256
2028,1668575.85574,1301769.78459
2029,1726558.44104,1357101.95019
2030,1777631.30131,1406518.29815
2031,1842559.28896,1468133.26118
