year,Base case cost,Modeled non-residential ashp
2017,1023431.11971,1023487.81429
2018,1091110.87447,1087138.00245
2019,1185452.3508,1175862.50717
2020,1228521.28564,1216367.17237
2021,1259284.81053,1245299.07608
2022,1281844.72878,1266515.80547
2023,1296201.04039,1280017.36054
2024,1310557.35201,1293518.91561
2025,1324913.66362,1307020.47067
2026,1343371.77856,1324379.6129
2027,1359778.99183,1339809.96155
2028,1374135.30345,1353311.51661
2029,1390542.51672,1368741.86526
2030,1400797.02502,1378385.83316
2031,1421306.04161,1397673.76897
