year,Base case cost,Modeled residential ashp
2017,101622.931049,114473.51038
2018,109438.315687,121321.571193
2019,128690.785377,139176.795357
2020,134244.728199,144085.855629
2021,138255.909125,147631.288047
2022,141341.432915,150358.543754
2023,143501.299568,152267.622748
2024,145044.061463,153631.250601
2025,147203.928116,155540.329596
2026,149672.347148,157722.134161
2027,151832.2138,159631.213155
2028,153374.975695,160994.841009
2029,155843.394727,163176.645574
2030,157386.156622,164540.273427
2031,159854.575654,166722.077992
