year,Base case cost,Modeled transmission and interties
2021,309901.693248,2216613.6705
2022,319309.257385,2224801.15185
2023,326123.937113,2230894.54162
2024,331907.778124,2235930.14483
2025,338783.750965,2242078.24816
2026,347297.921548,2249326.51862
2027,354240.759602,2255533.84064
2028,361824.389291,2262220.57263
2029,369738.630315,2268943.67989
2030,374868.678123,2273743.49732
2031,384541.845749,2281664.09619
2032,392569.386164,2288901.98581
2033,402355.853181,2297337.36705
2034,412209.185411,2305830.2479
2035,419382.336981,2312159.60297
2036,429358.255437,2320758.4728
2037,435708.593401,2326714.24064
2038,444909.989795,2334637.9049
2039,454103.95672,2342816.57474
2040,464334.334463,2351721.4577
