year,Base case cost,Modeled non-residential ashp
2017,385949.358493,437835.783255
2018,415934.316417,467762.989279
2019,456757.873495,508504.897119
2020,479793.165868,531502.35204
2021,498965.504147,550646.810092
2022,514967.350878,566628.742374
2023,521129.193171,572776.644554
2024,533005.164914,584642.659073
2025,546816.943622,598440.497667
2026,561721.826239,613329.448725
2027,575896.686181,627490.368553
2028,589303.963321,640885.697024
2029,612697.625203,664263.427348
2030,624544.696654,676102.53302
2031,641456.646285,692996.559647
