year,Base case cost,Modeled non-residential ashp
2017,271552.174056,363745.233872
2018,292436.089406,382066.904531
2019,322601.744911,409378.789877
2020,336524.355144,421073.51781
2021,346579.573645,429080.481729
2022,354314.357108,434890.028591
2023,359728.705532,438501.232006
2024,363596.097263,440658.835085
2025,369010.445687,444344.545541
2026,375198.272457,448811.852792
2027,380612.620881,452568.618701
2028,384480.012613,454868.372655
2029,390667.839383,459438.550116
2030,394535.231114,461804.479616
2031,400723.057884,466439.281634
