year,Base case cost,Modeled transmission and interties
2021,213264.905745,2221757.96637
2022,219777.683053,2228624.69217
2023,224571.919435,2234196.14783
2024,228721.605193,2239017.10761
2025,233569.814868,2243932.897
2026,240354.805304,2251088.28291
2027,245273.414926,2256799.55968
2028,249536.52282,2261747.58944
2029,255486.100553,2267923.02607
2030,259115.608925,2272130.81337
2031,266130.572521,2279530.66122
2032,272901.482967,2286645.78215
2033,278711.043028,2294130.45078
2034,286274.343988,2301415.5613
2035,291397.895677,2307338.27629
2036,298030.352895,2314281.63685
2037,302569.585025,2319538.68898
2038,309609.579713,2327698.12352
2039,315266.606556,2333484.63318
2040,323471.329254,2342986.64775
