year,Base case cost,Modeled non-residential ashp
2017,27749.441839,46302.5663135
2018,29550.1301144,46837.0297835
2019,32005.6141262,47757.9450246
2020,33096.9403537,47909.3445607
2021,33860.8687129,47884.4270862
2022,34461.098138,47776.6376084
2023,34843.0623177,47554.4872532
2024,35170.4601859,47311.433018
2025,35552.4243655,47109.702787
2026,35988.9548565,46949.060113
2027,36370.9190361,46766.8040618
2028,36698.3169044,46562.7091103
2029,37134.8473954,46430.2600771
2030,37407.6789522,46213.0668685
2031,37844.2094432,46098.3294851
