year,Base case cost,Modeled residential ashp
2017,261138.472662,606787.348311
2018,280470.541249,618252.722212
2019,307658.18869,636855.588242
2020,318213.861112,640481.836426
2021,328499.394292,644556.684353
2022,330674.015678,640812.062702
2023,329224.935423,633902.079957
2024,327580.664587,626912.960959
2025,325741.20317,619841.985673
2026,325258.147885,614068.344069
2027,323755.306018,607467.875149
2028,321281.475213,600086.843322
2029,319339.454539,593255.82331
2030,315748.241862,585046.022861
2031,314077.77721,578600.646559
