year,Base case cost,Modeled transmission and interties
2021,160678.329581,2269607.08916
2022,165040.637171,2242408.95436
2023,168312.367864,2214376.38913
2024,171235.049609,2187062.65415
2025,174149.688751,2160821.57687
2026,178157.317572,2135759.75171
2027,181471.674058,2110983.12875
2028,184027.613129,2086022.72496
2029,188092.344427,2063402.60937
2030,190287.974907,2038956.95278
2031,194373.616972,2017990.05486
2032,198407.78638,1996823.51964
2033,202885.907447,1977121.93471
2034,206928.923718,1957509.56376
2035,209960.180597,1937338.08475
2036,214012.043731,1918853.10169
2037,216590.502089,1898889.34267
2038,221124.117113,1882011.07338
2039,224446.516201,1864292.20649
2040,229245.537107,1848347.99143
