year,Base case cost,Modeled residential ashp
2017,104195.10482,180395.139928
2018,112431.357826,186592.122563
2019,123784.030889,195663.566088
2020,129126.465272,199281.158602
2021,132910.689626,201506.430951
2022,135581.906817,202744.916382
2023,137585.319711,203402.164341
2024,145976.276637,210513.375071
2025,147844.536174,211109.195424
2026,150413.393038,212373.313
2027,152281.652575,213020.857041
2028,153916.37967,213479.314409
2029,156251.704091,214604.271812
2030,165032.196118,222276.155084
2031,167476.830634,223557.465001
