year,Base case cost,Modeled residential ashp
2017,2168093.35672,2903368.71004
2018,2339617.0721,3019141.30937
2019,2565021.1211,3173537.62459
2020,2669997.1091,3238437.75366
2021,2743087.8671,3279871.1496
2022,2797047.4871,3307342.70831
2023,2834573.9501,3322857.45252
2024,2865232.8251,3333542.55568
2025,2902268.7461,3349269.27496
2026,2946662.7971,3370762.63091
2027,2974476.17422,3377568.49654
2028,2994727.94329,3378948.92889
2029,3036382.60279,3399124.12213
2030,3051420.15891,3397050.41969
2031,3074946.4186,3398725.59876
