year,Base case cost,Modeled non-residential ashp
2017,76498.0284828,330107.357547
2018,83663.3484468,332373.972205
2019,93482.4906197,336837.131428
2020,98524.7528165,337570.760339
2021,101709.339467,336900.367535
2022,104363.161676,335882.037492
2023,105955.455001,334090.851555
2024,107547.748327,332371.399519
2025,109140.041652,330722.000303
2026,111263.099419,329564.168008
2027,113120.774965,328261.565301
2028,114713.068291,326812.626269
2029,116570.743837,325638.978018
2030,117897.654941,324104.393141
2031,120020.712708,323265.303307
