year,Base case cost,Modeled non-residential ashp
2017,794216.241214,1016557.23311
2018,837762.989345,1057696.8777
2019,896986.566803,1113646.79434
2020,926598.355532,1141621.75266
2021,945758.92471,1159723.19628
2022,959693.884112,1172887.88254
2023,970145.103663,1182761.39724
2024,977112.583364,1189343.74038
2025,987563.802916,1199217.25508
2026,999756.892392,1210736.35556
2027,1010208.11194,1220609.87027
2028,1018917.46157,1228837.79918
2029,1029368.68112,1238711.31388
2030,1036336.16082,1245293.65702
2031,1048529.2503,1256812.7575
