year,Base case cost,Modeled residential ashp
2017,75849.4116735,94093.6179199
2018,82025.6994275,99195.7370077
2019,90563.5089699,106248.666335
2020,94741.58598,109700.099836
2021,97466.4188127,111951.034727
2022,92558.7015747,106695.792333
2023,93911.0455661,107795.390755
2024,95094.3465585,108757.539375
2025,96446.6905499,109857.137798
2026,97968.0775402,111094.186024
2027,99320.4215315,112193.784447
2028,100503.722524,113155.933067
2029,102025.109514,114392.981292
2030,102870.324509,115080.230307
2031,104560.754498,116454.728335
