year,Base case cost,Modeled non-residential ashp
2017,75849.4116735,101317.207727
2018,82025.6994275,106760.584635
2019,90563.5089699,114285.252715
2020,94741.58598,117967.537094
2021,97466.4188127,120369.026906
2022,92558.7015747,115224.191454
2023,93911.0455661,116404.085834
2024,95094.3465585,117436.493417
2025,96446.6905499,118616.387798
2026,97968.0775402,119943.768976
2027,99320.4215315,121123.663357
2028,100503.722524,122156.07094
2029,102025.109514,123483.452118
2030,102870.324509,124220.886106
2031,104560.754498,125695.754082
