year,Base case cost,Modeled transmission and interties
2021,338860.603154,2079024.86889
2022,347974.213508,2086534.39076
2023,354602.293765,2091740.48252
2024,360401.86399,2096178.76423
2025,367029.944247,2101384.85599
2026,374486.534537,2107670.8873
2027,380308.875651,2112221.38461
2028,386096.184628,2116650.28307
2029,394370.775309,2123289.16256
2030,398513.325469,2126816.08324
2031,406798.425791,2133245.66555
2032,415083.526113,2139987.37739
2033,422473.555342,2145690.45621
2034,430741.139596,2152417.91495
2035,435701.690148,2156703.5659
2036,444796.032826,2163885.74178
2037,449756.583378,2167859.9231
2038,458850.926057,2175042.09898
2039,465464.993459,2180237.1842
2040,474559.336138,2187730.8297
