year,Base case cost,Modeled non-residential ashp
2017,36729.6060527,90837.6924205
2018,40069.9644516,90145.4304562
2019,44746.4662101,89533.082365
2020,46973.3718093,88829.7212095
2021,48532.2057288,88115.1133178
2022,49645.6585284,87398.8445544
2023,50536.4207681,86690.5111511
2024,51204.4924479,85989.6920314
2025,51983.9094076,85311.017058
2026,52986.0169273,84659.0984082
2027,53765.433887,84013.4893606
2028,54433.5055668,83378.8206411
2029,55435.6130865,82774.7730103
2030,55992.3394863,82165.8856783
2031,56994.447006,81591.9113089
