year,Base case cost,Modeled transmission and interties
2021,364695.112872,2461662.73979
2022,376163.512648,2451929.1287
2023,384867.158835,2436865.16942
2024,391739.786672,2420963.52816
2025,399268.552784,2406542.1493
2026,409564.876494,2397683.37004
2027,417061.396495,2384412.53002
2028,423917.200272,2370886.84601
2029,434200.905939,2361693.5026
2030,439374.303882,2346868.17845
2031,449645.391506,2340799.3258
2032,459351.471169,2333373.02014
2033,469032.314745,2327445.98988
2034,479824.948177,2322549.62145
2035,487182.669696,2312318.65888
2036,497923.428948,2308315.86829
2037,504104.868387,2298403.62259
2038,514795.155465,2296266.43433
2039,523197.370606,2290356.28648
2040,534962.995413,2289582.20712
