year,Base case cost,Modeled residential ashp
2017,451829.86984,563942.349121
2018,486955.340022,595588.872448
2019,546557.744478,650359.406269
2020,569452.124156,671031.125456
2021,597979.098445,697915.263729
2022,610160.395874,708936.912206
2023,630280.308451,728283.725481
2024,637523.967434,734850.922575
2025,646837.243269,743294.461697
2026,669696.583136,765187.427437
2027,678132.653002,772850.398001
2028,685514.214134,779555.497244
2029,709063.064747,802137.973731
2030,714434.109948,807025.831869
2031,739569.377584,831098.087965
