year,Base case cost,Modeled transmission and interties
2021,1130702.25751,3095118.13867
2022,1161427.86234,3125773.56724
2023,1181759.90521,3147589.95518
2024,1199579.83974,3163842.96724
2025,1221055.69365,3185269.77102
2026,1248667.50582,3212818.51874
2027,1270775.58638,3234874.58506
2028,1289192.62387,3253249.55865
2029,1313748.67385,3277749.52344
2030,1329096.20508,3293062.00143
2031,1354325.71389,3319760.8693
2032,1381965.01418,3345808.53981
2033,1410305.26141,3374082.53873
2034,1437958.30575,3401672.42445
2035,1456393.66865,3420065.6816
2036,1487119.27347,3450721.11018
2037,1503228.83636,3466792.35922
2038,1533969.71236,3497463.0241
2039,1555488.32555,3518932.48951
2040,1587017.1942,3550387.82714
