year,Base case cost,Modeled non-residential ashp
2017,1031580.86508,1300188.99888
2018,1091413.9646,1359976.08578
2019,1172478.16395,1440977.94545
2020,1200866.52604,1469336.62198
2021,1227660.04101,1496109.35705
2022,1257402.56326,1525837.03653
2023,1281631.50285,1550055.58617
2024,1293309.76768,1561724.94533
2025,1306934.40998,1575339.19768
2026,1324451.80723,1592843.23642
2027,1338076.44953,1606457.48878
2028,1349754.71436,1618126.84794
2029,1365325.73413,1633685.99349
2030,1375057.62149,1643410.45946
2031,1378998.86228,1647339.82603
