year,annotation,consumption,consumption residential,consumption non-residential
2003,,18321450.0,3722142.0,14599308.0
2004,,19524749.0,3821032.0,15703717.0
2005,,19611197.0,3656498.0,15954699.0
2006,,19544017.0,3821646.0,15722371.0
2007,,19631708.0,3939289.0,15692419.0
2008,,20454099.0,3930739.0,16523360.0
2009,,19958525.0,3788888.0,16169637.0
2010,,19976813.0,3737513.0,16239300.0
2011,,18436268.0,3383910.0,15052358.0
2012,,18190419.0,3117822.0,15072597.0
2013,,17836419.0,2703547.0,15132872.0
2014,,19671148.0,2981931.0,16689217.0
2015,,20040671.0,2945550.0,17095121.0
2016,start of forecast,19707157.0,3401421.0,16305737.0
2017,,19708554.0,3402818.0,16305737.0
2018,,19708974.0,3403237.0,16305737.0
2019,,19710009.0,3404272.0,16305737.0
2020,,19709427.0,3403690.0,16305737.0
2021,,19706970.0,3401233.0,16305737.0
2022,,19705355.0,3399618.0,16305737.0
2023,,19705349.0,3399612.0,16305737.0
2024,,19705737.0,3400000.0,16305737.0
2025,,19703634.0,3397897.0,16305737.0
2026,,19697135.0,3391399.0,16305737.0
2027,,19686183.0,3380446.0,16305737.0
2028,,19671668.0,3365932.0,16305737.0
2029,,19658568.0,3352831.0,16305737.0
2030,,19641273.0,3335536.0,16305737.0
2031,,19620190.0,3314453.0,16305737.0
2032,,19593870.0,3288133.0,16305737.0
2033,,19564934.0,3259197.0,16305737.0
2034,,19534961.0,3229224.0,16305737.0
2035,,19503616.0,3197879.0,16305737.0
2036,,19471861.0,3166124.0,16305737.0
2037,,19439616.0,3133879.0,16305737.0
2038,,19406139.0,3100403.0,16305737.0
2039,,19371215.0,3065478.0,16305737.0
2040,,19335356.0,3029619.0,16305737.0
