year,Base case cost,Modeled residential ashp
2017,4353962.367,5489974.5571
2018,5004117.0601,5816327.17119
2019,5840754.39898,6238423.05945
2020,6319170.20962,6481437.06663
2021,6702511.17512,6685081.95505
2022,7029561.71352,6849541.60626
2023,7264329.18492,6961920.0932
2024,7487133.10134,7063938.26085
2025,7721253.17238,7178838.24278
2026,8013417.08528,7337886.95515
2027,8324952.6561,7525512.49323
2028,8639617.10427,7725437.08094
2029,8740208.96337,7697288.96267
2030,8829829.44064,7690408.19972
2031,9080255.18756,7807130.51
