year,Base case diesel consumed,Modeled transmission and interties
2021,20672.0756476,0.0
2022,20583.733444,0.0
2023,20583.733444,0.0
2024,20583.733444,0.0
2025,20495.3912404,0.0
2026,20407.0490368,0.0
2027,20407.0490368,0.0
2028,20318.7068331,0.0
2029,20318.7068331,0.0
2030,20230.3646295,0.0
2031,20142.0224259,0.0
2032,20053.6802223,0.0
2033,19876.995815,0.0
2034,19700.3114078,0.0
2035,19611.9692042,0.0
2036,19523.6270005,0.0
2037,19346.9425933,0.0
2038,19258.6003897,0.0
2039,19081.9159824,0.0
2040,18905.2315752,0.0
