year,Base case cost,Modeled non-residential ashp
2017,3773824.62835,4025702.94965
2018,4208450.85669,4393115.31756
2019,4811959.53088,4903391.86278
2020,5101878.83855,5147779.20048
2021,5291849.00864,5307394.72393
2022,5430218.13361,5421913.7694
2023,5534227.01319,5508577.13661
2024,5600846.23407,5562187.22321
2025,5694904.65465,5638900.13143
2026,5802190.88851,5726672.66387
2027,5894773.94938,5801910.21237
2028,5958934.23741,5853061.36612
2029,6073801.41315,5948414.84046
2030,6133030.15571,5996802.63778
2031,6250817.02278,6092907.61439
