year,Base case cost,Modeled residential ashp
2017,302026.365682,468888.436845
2018,336903.455743,482225.878492
2019,381380.771705,498486.017444
2020,398827.867429,500294.778727
2021,415243.802599,504018.889545
2022,421490.83032,499951.478128
2023,424009.517287,493964.049125
2024,419515.899436,481637.19124
2025,421523.031241,475348.571573
2026,425484.1074,469982.502372
2027,427039.867004,463443.129731
2028,427332.785369,456304.15936
2029,417057.610607,437558.731271
2030,409480.616972,423303.13657
2031,405390.231325,410358.513253
