year,Base case cost,Modeled non-residential ashp
2017,60058.4425229,179001.758075
2018,63380.5815945,178774.740379
2019,67765.805169,179200.825132
2020,69891.9741748,178392.680762
2021,71353.7153663,177254.53563
2022,72416.7998692,175936.176408
2023,73214.1132464,174511.968933
2024,73745.6554979,172980.857259
2025,74542.968875,171643.597837
2026,75473.1678151,170423.737048
2027,76137.5956294,169093.951051
2028,76802.0234437,167804.173249
2029,77599.3368209,166628.912993
2030,78130.8790724,165340.913851
2031,79061.0780124,164316.51591
