year,annotation,consumption,consumption residential,consumption non-residential
2003,,1676384.0,789122.0,887262.0
2004,,1584514.0,768769.0,815745.0
2005,,1565755.0,741543.0,824212.0
2006,,1527200.0,704381.0,822819.0
2007,,1545597.0,724559.0,821038.0
2008,,1587780.0,722617.0,865163.0
2009,,1565111.0,738068.0,827043.0
2010,,1597656.0,749402.0,848254.0
2011,,1580479.0,731022.0,849457.0
2012,,1592514.0,745685.0,846829.0
2013,,1619950.0,789444.0,830506.0
2014,,1621887.0,740042.0,881845.0
2015,,1612520.0,701692.0,910828.0
2016,start of forecast,1614718.0,740325.0,874393.0
2017,,1614375.0,739982.0,874393.0
2018,,1614021.0,739628.0,874393.0
2019,,1613652.0,739259.0,874393.0
2020,,1613278.0,738885.0,874393.0
2021,,1612904.0,738511.0,874393.0
2022,,1612525.0,738132.0,874393.0
2023,,1612142.0,737749.0,874393.0
2024,,1611750.0,737357.0,874393.0
2025,,1611355.0,736962.0,874393.0
2026,,1610954.0,736561.0,874393.0
2027,,1610557.0,736164.0,874393.0
2028,,1610162.0,735769.0,874393.0
2029,,1609716.0,735323.0,874393.0
2030,,1609281.0,734888.0,874393.0
2031,,1608865.0,734472.0,874393.0
2032,,1608494.0,734101.0,874393.0
2033,,1608140.0,733747.0,874393.0
2034,,1607789.0,733396.0,874393.0
2035,,1607431.0,733038.0,874393.0
2036,,1607057.0,732664.0,874393.0
2037,,1606670.0,732277.0,874393.0
2038,,1606294.0,731901.0,874393.0
2039,,1605945.0,731552.0,874393.0
2040,,1605619.0,731226.0,874393.0
