year,Base case cost,Galena (kalakaket creek)
2021,1917634.76711,2910639.70294
2022,1970902.39953,2934789.58415
2023,2006414.15448,2943651.11754
2024,2037486.94005,2949088.31264
2025,2072998.695,2959006.53596
2026,2117746.39526,2977710.50603
2027,2158068.63584,2992966.93281
2028,2190261.97451,3001540.72569
2029,2230623.24306,3017797.23569
2030,2257284.07863,3022257.07786
2031,2302107.58322,3043412.33527
2032,2346946.09857,3065024.82274
2033,2395840.80896,3090645.33768
2034,2445148.31519,3117100.38251
2035,2476268.38466,3127699.92613
2036,2525171.35096,3154564.47586
2037,2555859.86113,3165527.42612
2038,2604314.75631,3192720.2387
2039,2639868.54138,3208826.58065
2040,2692744.39301,3240700.69858
2041,2692289.56704,3225361.62189
2042,2691834.74107,3210371.39448
2043,2690925.08913,3195267.01534
2044,2690015.43719,3180495.325
2045,2689105.78526,3166048.52643
2046,2687741.30735,3151464.17819
2047,2686831.65541,3137644.49714
2048,2685467.1775,3123672.56859
2049,2684102.69959,3109996.12698
2050,2682283.39571,3096153.42139
