year,Base case cost,Modeled transmission and interties
2021,426529.811489,2435022.87212
2022,439555.366105,2448402.37523
2023,449143.83887,2458768.06727
2024,457443.210386,2467738.7128
2025,467139.629736,2477502.71187
2026,480709.610607,2491443.08821
2027,490546.829851,2502072.97461
2028,499073.04564,2511284.11226
2029,510972.201106,2523409.12662
2030,518231.21785,2531246.42229
2031,532261.145042,2545661.23374
2032,545802.965935,2559547.26512
2033,557422.086056,2572841.49381
2034,572548.687976,2587689.90529
2035,582795.791355,2598736.17197
2036,596060.70579,2612311.98975
2037,605139.170051,2622108.274
2038,619219.159426,2637307.70323
2039,630533.213112,2648751.23974
2040,646942.658507,2666457.97701
