year,Base case cost,Modeled non-residential ashp
2017,94144.0383829,198090.546679
2018,105388.408307,192640.763499
2019,120601.37938,186742.345593
2020,127877.148155,182014.559903
2021,132727.660671,177704.647271
2022,136475.783979,173630.397325
2023,139121.518079,169789.805591
2024,141105.818653,166120.861491
2025,143751.552753,162441.495773
2026,146838.242536,158779.867864
2027,149483.976636,155254.259508
2028,151688.755052,151862.890101
2029,154554.966994,148453.88988
2030,156318.789727,145265.77071
2031,159405.47951,141966.585606
