year,Base case diesel consumed,Cordova (lake 1878 elevation - fidalgo creek tributary),"Cordova (lake 1975 elevation - dead creek tributary) -- dead creek, lake 1975","Valdez (lowe river) -- lower river, keystone canyon",Valdez (mineral creek),Valdez (tsina river),Tasnuna river,Tiekel river,"Cleave creek -- copper river, cleave site",Nelchina river,Valdez (tonsina river),Tolsona creek,Kenney lake (tonsina river tributary),Chitina (liberty creek),"Glennallen (tazlina, cache creek)",Kenney lake (tonsina river tributary),Cordova (dead creek - gravina river tributary)
2038,2351427.45027,1492870.0796,2031767.87425,1923731.98453,1867263.81886,-433062.717471,1667744.80568,-433062.717471,-433062.717471,-433062.717471,1544739.36929,-433062.717471,2226503.88483,2342380.48113,2305815.64756,1997087.82591,-433062.717471
2039,2329347.10777,1470789.7371,2009687.53175,1901651.64203,1845183.47636,-455143.059971,1645664.46318,-455143.059971,-455143.059971,-455143.059971,1522659.02679,-455143.059971,2204423.54233,2320300.13863,2283735.30506,1975007.48341,-455143.059971
2040,2308994.79207,1450437.4214,1989335.21606,1881299.32633,1824831.16067,-475495.375667,1625312.14748,-475495.375667,-475495.375667,-475495.375667,1502306.71109,-475495.375667,2184071.22663,2299947.82294,2263382.98936,1954655.16772,-475495.375667
2041,2288738.47786,1430181.10719,1969078.90185,1861043.01213,1804574.84646,-495751.689873,1605055.83328,-495751.689873,-495751.689873,-495751.689873,1482050.39689,-495751.689873,2163814.91243,2279691.50873,2243126.67515,1934398.85351,-495751.689873
2042,2267426.14728,1408868.77661,1947766.57126,1839730.68154,1783262.51587,-517064.02046,1583743.50269,-517064.02046,-517064.02046,-517064.02046,1460738.0663,-517064.02046,2142502.58184,2258379.17814,2221814.34457,1913086.52292,-517064.02046
2043,2245921.81371,1387364.44304,1926262.2377,1818226.34798,1761758.18231,-538568.354026,1562239.16913,-538568.354026,-538568.354026,-538568.354026,1439233.73274,-538568.354026,2120998.24827,2236874.84458,2200310.011,1891582.18936,-538568.354026
2044,2225569.49802,1367012.12735,1905909.922,1797874.03228,1741405.86661,-558920.669722,1541886.85343,-558920.669722,-558920.669722,-558920.669722,1418881.41704,-558920.669722,2100645.93258,2216522.52888,2179957.69531,1871229.87366,-558920.669722
2045,2205409.1853,1346851.81463,1885749.60929,1777713.71956,1721245.55389,-579080.982439,1521726.54071,-579080.982439,-579080.982439,-579080.982439,1398721.10432,-579080.982439,2080485.61986,2196362.21617,2159797.38259,1851069.56094,-579080.982439
2046,2187360.90534,1328803.53467,1867701.32933,1759665.43961,1703197.27394,-597129.262396,1503678.26076,-597129.262396,-597129.262396,-597129.262396,1380672.82437,-597129.262396,2062437.3399,2178313.93621,2141749.10263,1833021.28099,-597129.262396
2047,2171040.65219,1312483.28152,1851381.07618,1743345.18645,1686877.02078,-613449.515548,1487358.0076,-613449.515548,-613449.515548,-613449.515548,1364352.57121,-613449.515548,2046117.08675,2161993.68306,2125428.84948,1816701.02784,-613449.515548
2048,2154720.39904,1296163.02837,1835060.82302,1727024.9333,1670556.76763,-629769.7687,1471037.75445,-629769.7687,-629769.7687,-629769.7687,1348032.31806,-629769.7687,2029796.8336,2145673.4299,2109108.59633,1800380.77468,-629769.7687
2049,2138112.14142,1279554.77075,1818452.5654,1710416.67568,1653948.51001,-646378.02632,1454429.49683,-646378.02632,-646378.02632,-646378.02632,1331424.06044,-646378.02632,2013188.57598,2129065.17228,2092500.33871,1783772.51706,-646378.02632
2050,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,-662506.276494,1438301.24666,-662506.276494,-662506.276494,-662506.276494,1315295.81027,-662506.276494,1997060.32581,2112936.92211,2076372.08853,1767644.26689,-662506.276494
