year,Base case cost,Modeled transmission and interties
2021,280498.757525,690520.651779
2022,290390.220732,689949.576589
2023,297210.023664,687301.254412
2024,302595.588335,683894.764993
2025,308748.470475,681064.533464
2026,317437.56394,680470.970744
2027,324424.694669,678679.212917
2028,331007.848288,676931.602797
2029,338085.814107,675549.067641
2030,343691.29531,673112.303145
2031,352707.873179,673611.246513
2032,360679.847514,673438.172033
2033,369847.020399,674612.513534
2034,379872.345845,676391.976359
2035,385695.353185,674883.819625
2036,395868.883251,677065.921794
2037,401773.164092,675900.015592
2038,410842.330697,677479.610711
2039,419658.115209,678937.19827
2040,430931.227941,682548.44966
