year,Base case cost,Modeled non-residential ashp
2017,224208.281206,318662.632768
2018,250063.846751,341389.302853
2019,285495.547683,372533.258154
2020,302732.59138,387684.371544
2021,315181.567384,398626.842325
2022,323800.089232,406202.39902
2023,330503.384003,412094.498672
2024,335291.451697,416303.14128
2025,341994.746468,422195.240932
2026,348698.041239,428087.340583
2027,355401.33601,433979.440235
2028,361147.017242,439029.811365
2029,367850.312013,444921.911017
2030,372638.379706,449130.553625
2031,380299.288016,455864.381798
