year,Base case cost,Modeled transmission and interties
2021,445571.692462,1597419.6407
2022,463490.308948,1602117.03942
2023,477743.821629,1603091.85729
2024,489535.052291,1601683.04085
2025,504156.714887,1602440.95764
2026,520620.617541,1607033.19803
2027,536820.704264,1611840.75441
2028,550767.922178,1614519.01846
2029,568229.704864,1621308.69134
2030,581360.881976,1622063.09284
2031,598960.534568,1629582.60707
2032,617114.64776,1638087.22418
2033,636022.201365,1646081.78602
2034,654674.881952,1657244.33841
2035,672909.48136,1665562.45553
2036,693594.438904,1676507.01041
2037,708414.336069,1684259.80292
2038,729950.360824,1696723.23344
2039,748642.539276,1707831.38813
2040,772684.815372,1723624.31309
