year,annotation,consumption,consumption residential,consumption non-residential
2003,,645936.0,355712.0,290224.0
2004,,657443.0,369657.0,287786.0
2005,,662248.0,360389.0,301859.0
2006,,667291.0,361005.0,306286.0
2007,,726021.0,390212.0,335809.0
2008,,888145.0,435685.0,452460.0
2009,,1034104.0,434955.0,599149.0
2010,,1072021.0,429285.0,642736.0
2011,,1139474.0,419680.0,719794.0
2012,,1159399.0,448305.0,711094.0
2013,,1082918.0,430599.0,652319.0
2014,,1354416.0,475412.0,879004.0
2015,,1419131.0,491468.0,927663.0
2016,start of forecast,1312246.0,492584.0,819662.0
2017,,1332009.0,512347.0,819662.0
2018,,1349385.0,529723.0,819662.0
2019,,1369296.0,549634.0,819662.0
2020,,1387812.0,568150.0,819662.0
2021,,1404591.0,584929.0,819662.0
2022,,1420340.0,600678.0,819662.0
2023,,1435704.0,616042.0,819662.0
2024,,1450974.0,631312.0,819662.0
2025,,1466450.0,646788.0,819662.0
2026,,1482704.0,663042.0,819662.0
2027,,1501178.0,681516.0,819662.0
2028,,1521299.0,701637.0,819662.0
2029,,1537805.0,718143.0,819662.0
2030,,1554363.0,734701.0,819662.0
2031,,1570865.0,751203.0,819662.0
2032,,1587537.0,767875.0,819662.0
2033,,1602259.0,782597.0,819662.0
2034,,1619219.0,799557.0,819662.0
2035,,1641800.0,822138.0,819662.0
2036,,1659091.0,839429.0,819662.0
2037,,1676554.0,856892.0,819662.0
2038,,1694260.0,874598.0,819662.0
2039,,1712261.0,892599.0,819662.0
2040,,1730532.0,910870.0,819662.0
