year,Base case cost,Modeled solar power (pv)
2016,247781.287794,262824.974954
2017,300477.402073,314314.659595
2018,340203.311672,353083.242188
2019,395321.464862,407038.188607
2020,423619.077014,434640.12508
2021,445571.692462,456011.980839
2022,463490.308948,473422.202667
2023,477743.821629,487237.996594
2024,489535.052291,498640.910773
2025,504156.714887,512844.673253
2026,520620.617541,528881.117992
2027,536820.704264,544682.732869
2028,550767.922178,558278.788083
2029,568229.704864,575341.399852
2030,581360.881976,588138.704554
2031,598960.534568,605356.997747
2032,617114.64776,623138.594482
2033,636022.201365,641664.041332
2034,654674.881952,659961.476891
2035,672909.48136,677885.029381
